smiles,occurrence,degree,type,bonds
*C,1396814,1,Sub,-
*=O,915554,1,Sub,=
*c1ccc(*)cc1,791279,2,Ring,--
*OC,584360,1,Sub,-
*O,563387,1,Sub,-
*c1ccccc1,553992,1,Ring,-
*Cl,486961,1,Sub,-
*F,408137,1,Sub,-
*c1ccc(*)c(*)c1,368180,3,Ring,---
*C*,294846,2,Linker,--
*c1cccc(*)c1,246683,2,Ring,--
*NC(*)=O,216394,2,Linker,--
*c1ccccc1*,203572,2,Ring,--
*N,164754,1,Sub,-
*C(*)=O,148976,2,Linker,--
*N*,140254,2,Linker,--
*N1CCN(*)CC1,131372,2,Ring,--
*C(F)(F)F,126602,1,Sub,-
*Br,102638,1,Sub,-
*O*,99168,2,Linker,--
*C(=O)O,98544,1,Sub,-
*C1CCN(*)CC1,98255,2,Ring,--
*CC,94511,1,Sub,-
*C#N,90362,1,Sub,-
*[N+](=O)[O-],86163,1,Sub,-
*CO*,77679,2,Linker,--
*S(*)(=O)=O,67642,2,Linker,--
*N1CCOCC1,66934,1,Ring,-
*c1cc(*)c(*)c(*)c1,66931,4,Ring,----
*C1CC1,66826,1,Ring,-
*CO,59868,1,Sub,-
*c1cccc(*)c1*,59553,3,Ring,---
*C(C)C,54248,1,Sub,-
*CNC(*)=O,52849,2,Linker,--
*CN*,48195,2,Linker,--
*C1CCCCC1,46913,1,Ring,-
*c1ccc(*)nc1,44103,2,Ring,--
*c1cc(*)cc(*)c1,43175,3,Ring,---
*C(=O)OC,42116,1,Sub,-
*CC*,41950,2,Linker,--
*NS(*)(=O)=O,41821,2,Linker,--
*c1cccnc1,40930,1,Ring,-
*c1ccccn1,38881,1,Ring,-
*C(N)=O,38747,1,Sub,-
*c1ccco1,38269,1,Ring,-
*CC(=O)N*,37446,2,Linker,--
*C=*,37214,2,Linker,-=
*OCC,37133,1,Sub,-
*C(=O)OCC,36810,1,Sub,-
*c1cccs1,35274,1,Ring,-
*OC(C)=O,35111,1,Sub,-
*C(C)=O,33186,1,Sub,-
*c1csc(*)n1,33167,2,Ring,--
*c1ccncc1,32083,1,Ring,-
*N1CCCC1,31295,1,Ring,-
*C1CCCN1*,30986,2,Ring,--
*C(C)(C)C,30955,1,Sub,-
*N1CCCCC1,30486,1,Ring,-
*N(C)C,27812,1,Sub,-
*c1cn(*)nn1,27086,2,Ring,--
*CC(*)=O,26978,2,Linker,--
*C1CCCN(*)C1,25538,2,Ring,--
*C1CCCC1,25287,1,Ring,-
*c1noc(*)n1,25084,2,Ring,--
*NC(=O)N*,24463,2,Linker,--
*C1OC(*)C(*)C(*)C1*,24265,5,Ring,-----
*CCC,24133,1,Sub,-
*c1cc(*)c(*)cc1*,22889,4,Ring,----
*c1ccc2c(c1)OCO2,21540,1,Ring,-
*NC(C)=O,21415,1,Sub,-
*c1cnn(*)c1,20916,2,Ring,--
*OC(*)=O,20902,2,Linker,--
*c1c[nH]c2ccccc12,20578,1,Ring,-
*c1cc(*)nc(*)n1,20415,3,Ring,---
*c1ccc(*)o1,20098,2,Ring,--
*C1CCN(*)C1,19539,2,Ring,--
*S(C)(=O)=O,19297,1,Sub,-
*c1cc(*)n(*)n1,18913,3,Ring,---
*c1ccnc(*)c1,18659,2,Ring,--
*C=C*,18493,2,Linker,--
*c1cccnc1*,18463,2,Ring,--
*CS*,18410,2,Linker,--
*=S,18405,1,Sub,=
*c1ccnc(*)n1,18123,2,Ring,--
*c1cc(*)on1,17848,2,Ring,--
*C1CCC(*)CC1,17722,2,Ring,--
*c1ncc(*)c(*)n1,17628,3,Ring,---
*S(N)(=O)=O,17619,1,Sub,-
*CCNC(*)=O,16699,2,Linker,--
*c1nnc(*)o1,16678,2,Ring,--
*C1OC(*)C(*)C1*,15954,4,Ring,----
*CCO*,15880,2,Linker,--
*c1nnc(*)s1,15532,2,Ring,--
*CC(=O)O,15446,1,Sub,-
*c1cccc2ccccc12,15409,1,Ring,-
*S*,15318,2,Linker,--
*c1ccc2ccccc2c1,15232,1,Ring,-
*C=CC(*)=O,15151,2,Linker,--
*NC(=O)CS*,15146,2,Linker,--
*c1ccc(*)s1,15071,2,Ring,--
*c1nnc(*)n1*,14521,3,Ring,---
*SC,14506,1,Sub,-
*CCCC,14455,1,Sub,-
*c1nc(*)c(*)s1,14351,3,Ring,---
*CC(C)C,13758,1,Sub,-
*c1nn(*)c(*)c1*,13706,4,Ring,----
*OC(F)(F)F,13645,1,Sub,-
*c1noc(*)c1*,13455,3,Ring,---
*c1ccc(*)c(*)c1*,12890,4,Ring,----
*c1cnc(*)c(*)c1,12871,3,Ring,---
*c1cccc(*)n1,12681,2,Ring,--
*=C,12319,1,Sub,=
*I,12313,1,Sub,-
*c1cn(*)nc1*,11328,3,Ring,---
*n1ccnc1,11215,1,Ring,-
*CCC*,11053,2,Linker,--
*[O-],10760,1,Sub,-
