smiles,occurrence,degree,type,bonds
*C,1396811,1,Sub,-
*=O,915553,1,Sub,=
*OC,584360,1,Sub,-
*O,563386,1,Sub,-
*c1ccc(*)cc1,488073,2,Ring,--
*Cl,486961,1,Sub,-
*F,408137,1,Sub,-
*c1ccccc1,386874,1,Ring,-
*C*,294846,2,Linker,--
*c1ccc(*)c(*)c1,237821,3,Ring,---
*NC(*)=O,216394,2,Linker,--
*N,164754,1,Sub,-
*c1cccc(*)c1,155611,2,Ring,--
*C(*)=O,148976,2,Linker,--
*N*,140254,2,Linker,--
*c1ccccc1*,133779,2,Ring,--
*C(F)(F)F,126602,1,Sub,-
*Br,102638,1,Sub,-
*O*,99168,2,Linker,--
*C(=O)O,98544,1,Sub,-
*CC,94511,1,Sub,-
*C#N,90362,1,Sub,-
*[N+](=O)[O-],86163,1,Sub,-
*CO*,77679,2,Linker,--
*S(*)(=O)=O,67642,2,Linker,--
*CO,59868,1,Sub,-
*C1CCN(*)CC1,54925,2,Ring,--
*C(C)C,54248,1,Sub,-
*CNC(*)=O,52849,2,Linker,--
*N1CCN(*)CC1,49456,2,Ring,--
*CN*,48195,2,Linker,--
*c1cc(*)c(*)c(*)c1,44456,4,Ring,----
*C1CC1,42880,1,Ring,-
*C(=O)OC,42116,1,Sub,-
*CC*,41950,2,Linker,--
*N1CCOCC1,41876,1,Ring,-
*NS(*)(=O)=O,41821,2,Linker,--
*c1cccc(*)c1*,40537,3,Ring,---
*C(N)=O,38747,1,Sub,-
*CC(=O)N*,37446,2,Linker,--
*C=*,37214,2,Linker,-=
*OCC,37133,1,Sub,-
*C(=O)OCC,36810,1,Sub,-
*C1CCCCC1,36413,1,Ring,-
*OC(C)=O,35111,1,Sub,-
*C(C)=O,33186,1,Sub,-
*c1cc(*)cc(*)c1,30961,3,Ring,---
*C(C)(C)C,30955,1,Sub,-
*c1ccco1,27865,1,Ring,-
*N(C)C,27812,1,Sub,-
*c1cccnc1,27592,1,Ring,-
*CC(*)=O,26978,2,Linker,--
*c1ccccn1,25631,1,Ring,-
*NC(=O)N*,24463,2,Linker,--
*c1ccc(*)nc1,24158,2,Ring,--
*CCC,24133,1,Sub,-
*c1cccs1,23475,1,Ring,-
*N1CCCC1,23034,1,Ring,-
*N1CCCCC1,22129,1,Ring,-
*C1CCCN1*,21798,2,Ring,--
*C1OC(*)C(*)C(*)C1*,21417,5,Ring,-----
*NC(C)=O,21415,1,Sub,-
*OC(*)=O,20902,2,Linker,--
*S(C)(=O)=O,19297,1,Sub,-
*c1ccncc1,18762,1,Ring,-
*C=C*,18493,2,Linker,--
*CS*,18410,2,Linker,--
*=S,18405,1,Sub,=
*c1c[nH]c2ccccc12,18027,1,Ring,-
*C1CCCC1,17851,1,Ring,-
*S(N)(=O)=O,17619,1,Sub,-
*CCNC(*)=O,16699,2,Linker,--
*CCO*,15880,2,Linker,--
*c1ccc2c(c1)OCO2,15874,1,Ring,-
*CC(=O)O,15446,1,Sub,-
*S*,15318,2,Linker,--
*C=CC(*)=O,15151,2,Linker,--
*NC(=O)CS*,15146,2,Linker,--
*c1cc(*)c(*)cc1*,15006,4,Ring,----
*C1CCCN(*)C1,14888,2,Ring,--
*SC,14506,1,Sub,-
*CCCC,14455,1,Sub,-
*CC(C)C,13758,1,Sub,-
*OC(F)(F)F,13645,1,Sub,-
*C1CCC(*)CC1,13006,2,Ring,--
*c1cccc2ccccc12,12695,1,Ring,-
*c1cn(*)nn1,12436,2,Ring,--
*c1ccc2ccccc2c1,12392,1,Ring,-
*=C,12319,1,Sub,=
*I,12313,1,Sub,-
*c1csc(*)n1,11777,2,Ring,--
*CCC*,11053,2,Linker,--
*c1cccnc1*,11017,2,Ring,--
*[O-],10760,1,Sub,-
*c1nnc(*)s1,10581,2,Ring,--
*c1ccc(*)o1,10536,2,Ring,--
*COC(*)=O,10482,2,Linker,--
*C#C*,10292,2,Linker,--
*c1cc(*)on1,10240,2,Ring,--
*c1ccc(N2CCN(*)CC2)cc1,10171,2,Ring,--
*c1ncc(*)c(*)n1,10084,3,Ring,---
*C1CCN(*)C1,9754,2,Ring,--
*NC,9753,1,Sub,-
*CCN*,9700,2,Linker,--
*c1ccc(*)c(*)c1*,9683,4,Ring,----
*C1CCCO1,9642,1,Ring,-
*CCCO*,9578,2,Linker,--
*C(=O)NC,9400,1,Sub,-
*CN,9337,1,Sub,-
*C(*)*,9236,3,Linker,---
*CCO,9054,1,Sub,-
*C=NNC(*)=O,8964,2,Linker,--
*c1ccnc(*)c1,8887,2,Ring,--
*C=O,8732,1,Sub,-
*CCC(=O)N*,8607,2,Linker,--
*CC=C,8430,1,Sub,-
*c1cnn(*)c1,8421,2,Ring,--
*n1ccnc1,8339,1,Ring,-
*c1cc(*)nc(*)n1,8324,3,Ring,---
*C(=N)N,8303,1,Sub,-
*NC(=O)CO*,8270,2,Linker,--
*CNC(=O)C*,8262,2,Linker,--
*c1ccc(*)s1,8186,2,Ring,--
*CCC(*)=O,8185,2,Linker,--
*OC(C)C,8174,1,Sub,-
*c1ccccc1N1CCN(*)CC1,7975,2,Ring,--
*NS(C)(=O)=O,7938,1,Sub,-
*c1ccc(-c2ccccc2)cc1,7932,1,Ring,-
*c1nccs1,7672,1,Ring,-
*C=N*,7441,2,Linker,--
*COC,7401,1,Sub,-
*SCC(*)=O,7355,2,Linker,--
*C(=O)OC(C)(C)C,7155,1,Sub,-
*c1noc(*)c1*,7014,3,Ring,---
*c1cn(*)c2ccccc12,6742,2,Ring,--
*C(*)C,6727,2,Linker,--
*C1CCOCC1,6579,1,Ring,-
*S,6539,1,Sub,-
*=N,6512,1,Sub,=
*CCOC,6394,1,Sub,-
*C(=O)N(C)C,6378,1,Sub,-
*NC(*)C,6321,2,Linker,--
*C(=O)NO,6259,1,Sub,-
*c1cccc(*)n1,6255,2,Ring,--
*C1CCC1,6253,1,Ring,-
*CNS(*)(=O)=O,6188,2,Linker,--
*C1CCCCN1*,6158,2,Ring,--
*C12CC3CC(CC(C3)C1)C2,6129,1,Ring,-
*c1ccc2c(c1)OCCO2,6070,1,Ring,-
*c1nn(*)c(*)c1*,6062,4,Ring,----
*CC=C(C)C,5978,1,Sub,-
*C(=O)NC(*)C,5926,2,Linker,--
*c1nc2ccccc2n1*,5902,2,Ring,--
*c1c[nH]cn1,5874,1,Ring,-
*n1cncn1,5853,1,Ring,-
*c1ccc2nc(*)sc2c1,5747,2,Ring,--
*N=*,5660,2,Linker,-=
*c1cc(*)n(*)n1,5643,3,Ring,---
*c1cnc(*)s1,5639,2,Ring,--
*CCC(=O)O,5602,1,Sub,-
*C(=O)NS(*)(=O)=O,5589,2,Linker,--
*COC(C)=O,5570,1,Sub,-
*c1nc2ccccc2[nH]1,5564,1,Ring,-
*C=C,5463,1,Sub,-
*c1ccnc(*)n1,5406,2,Ring,--
*c1nccn1*,5382,2,Ring,--
*N1C(=*)SC(=*)C1=*,5352,4,Ring,-===
*C=NN*,5305,2,Linker,--
*C(C)CO,5299,1,Sub,-
*CNC*,5292,2,Linker,--
*c1nc(*)c(*)s1,5232,3,Ring,---
*CN(C)C,5204,1,Sub,-
*OC(F)F,5189,1,Sub,-
*CCCC*,5163,2,Linker,--
*c1nc2ccccc2s1,5138,1,Ring,-
*c1noc(*)n1,5127,2,Ring,--
*CCCNC(*)=O,5099,2,Linker,--
*C=CC(=O)N*,5061,2,Linker,--
*OCC(*)=O,5041,2,Linker,--
*CN(*)C,5025,2,Linker,--
*CNC(=O)N*,4805,2,Linker,--
*C(=C)C,4739,1,Sub,-
*N1CCN(c2ccccc2)CC1,4718,1,Ring,-
*c1ccc(-c2ccc(*)cc2)cc1,4716,2,Ring,--
*N1CCCCCC1,4676,1,Ring,-
*CN(C)C(*)=O,4656,2,Linker,--
*c1ccc2c(*)ccnc2c1,4615,2,Ring,--
*c1ccc2[nH]cc(*)c2c1,4586,2,Ring,--
*OCC(=O)O,4551,1,Sub,-
*CN(C)C*,4491,2,Linker,--
*c1cnc(*)c(*)c1,4479,3,Ring,---
*C1CC(*)N(*)C1,4454,3,Ring,---
*CS(*)(=O)=O,4450,2,Linker,--
*c1ccsc1,4440,1,Ring,-
*c1ncnc2c1ncn2C1OC(*)C(*)C1*,4408,4,Ring,----
*C(=O)N(*)C,4383,2,Linker,--
*OCCC,4352,1,Sub,-
*c1cc(*)c(*)c(*)c1*,4246,5,Ring,-----
*CCCCC,4231,1,Sub,-
*c1nnc(*)n1*,4220,3,Ring,---
*N(CC)CC,4209,1,Sub,-
*C1(*)CC1,4205,2,Ring,--
*C1CC(*)C(*)C(*)O1,4197,4,Ring,----
*c1nnc(*)o1,4180,2,Ring,--
*c1cnccn1,4168,1,Ring,-
*N(*)C,4162,2,Linker,--
*N1CCC(*)(*)CC1,4159,3,Ring,---
