smiles,occurrence,degree,type,bonds
*O,1177074,1,Sub,-
*C,998954,1,Sub,-
*=O,518727,1,Sub,=
*OC,251515,1,Sub,-
*O*,159939,2,Linker,--
*C1OC(*)C(*)C(*)C1*,150761,5,Ring,-----
*CO,143847,1,Sub,-
*c1ccc(*)cc1,95857,2,Ring,--
*c1ccccc1,93845,1,Ring,-
*OC(C)=O,75349,1,Sub,-
*c1ccc(*)c(*)c1,67840,3,Ring,---
*C*,59030,2,Linker,--
*C(=O)O,44554,1,Sub,-
*=C,37219,1,Sub,=
*Cl,33052,1,Sub,-
*OC(*)=O,29111,2,Linker,--
*C(C)C,28709,1,Sub,-
*c1cc(*)c(*)c(*)c1,26450,4,Ring,----
*C(=O)OC,23512,1,Sub,-
*CO*,23377,2,Linker,--
*NC(*)=O,22791,2,Linker,--
*C1COC(*)C(*)C1*,22624,4,Ring,----
*CC,22594,1,Sub,-
*N,22160,1,Sub,-
*c1ccccc1*,18771,2,Ring,--
*c1cccc(*)c1,18613,2,Ring,--
*Br,17550,1,Sub,-
*C(*)=O,15415,2,Linker,--
*CC*,13507,2,Linker,--
*C(C)=O,12904,1,Sub,-
*C=O,12893,1,Sub,-
*C1CC(*)C(*)C(*)O1,12676,4,Ring,----
*COC(C)=O,11578,1,Sub,-
*CC(C)C,9758,1,Sub,-
*C1CCCCC1,9305,1,Ring,-
*CC=C(C)C,9210,1,Sub,-
*C=*,8957,2,Linker,-=
*NC(C)=O,8735,1,Sub,-
*C=CC(=O)O*,8397,2,Linker,--
*C1OC(*)C(*)C1*,8353,4,Ring,----
*C(=C)C,7758,1,Sub,-
*[N+](=O)[O-],7707,1,Sub,-
*OC(=O)C(C)=CC,7502,1,Sub,-
*c1ccoc1,7349,1,Ring,-
*C=C,7089,1,Sub,-
*c1c[nH]c2ccccc12,6868,1,Ring,-
*c1cccnc1,6479,1,Ring,-
*c1ccc2c(c1)OCO2,6355,1,Ring,-
*c1cc(*)cc(*)c1,6331,3,Ring,---
*C(C)(C)O,6262,1,Sub,-
*C(C)O,6222,1,Sub,-
*C(C)CC,6200,1,Sub,-
*C1=C(*)C(=*)c2c(*)cc(*)cc2O1,6034,5,Ring,--=--
*CC(=O)O,5765,1,Sub,-
*OCC,5687,1,Sub,-
*C1CCCN1*,5581,2,Ring,--
*CNC(*)=O,5416,2,Linker,--
*N1CCN(*)CC1,5342,2,Ring,--
*COC(*)=O,5240,2,Linker,--
*CCC,5094,1,Sub,-
